On 12/11/2020 at 16:47:40, Price: $11.68
On 14/11/2020 at 20:14:16, Price: $11.68
On 15/11/2020 at 15:24:51, Price: $11.68
On 15/11/2020 at 15:52:21, Price: $11.68
On 15/11/2020 at 15:55:30, Price: $11.68
On 16/11/2020 at 14:28:35, Price: $11.68
On 16/11/2020 at 14:45:05, Price: $11.68
On 16/11/2020 at 14:50:26, Price: $11.68
On 16/11/2020 at 14:53:48, Price: $11.68
On 17/11/2020 at 13:11:19, Price: $11.68
On 18/11/2020 at 09:48:26, Price: $11.68
On 18/11/2020 at 14:31:07, Price: $11.68
On 18/11/2020 at 14:34:38, Price: $11.68
On 19/11/2020 at 18:09:08, Price: $11.68
On 21/11/2020 at 18:14:42, Price: $11.68
On 22/11/2020 at 21:30:18, Price: $11.68
On 23/11/2020 at 13:06:18, Price: $11.68
On 23/11/2020 at 13:11:12, Price: $11.68
On 24/11/2020 at 19:16:37, Price: $11.68
On 25/11/2020 at 21:04:23, Price: $11.68
On 27/11/2020 at 13:35:43, Price: $11.68
On 28/11/2020 at 18:49:29, Price: None
On 03/12/2020 at 10:27:18, Price: None
On 03/12/2020 at 10:29:37, Price: None
On 03/12/2020 at 10:30:01, Price: None
On 03/12/2020 at 10:30:51, Price: $11.68
On 03/12/2020 at 10:33:22, Price: $11.68
On 03/12/2020 at 10:44:29, Price: $11.68
On 03/12/2020 at 10:57:36, Price: $11.68
On 03/12/2020 at 11:03:38, Price: $11.68
On 03/12/2020 at 11:29:15, Price: $11.68
On 06/12/2020 at 20:03:26, Price: $11.98
On 07/12/2020 at 17:22:26, Price: $11.98
On 11/12/2020 at 15:26:20, Price: $11.98
