On 14/11/2020 at 20:14:12, Price: $229.00
On 15/11/2020 at 15:24:47, Price: $229.00
On 15/11/2020 at 15:52:16, Price: $229.00
On 15/11/2020 at 15:55:27, Price: $229.00
On 16/11/2020 at 14:28:30, Price: $229.00
On 16/11/2020 at 14:45:00, Price: $229.00
On 16/11/2020 at 14:50:22, Price: $229.00
On 16/11/2020 at 14:53:44, Price: $229.00
On 17/11/2020 at 13:11:15, Price: $229.00
On 18/11/2020 at 09:48:22, Price: $229.00
On 18/11/2020 at 14:31:03, Price: $229.00
On 18/11/2020 at 14:34:34, Price: $229.00
On 19/11/2020 at 18:09:03, Price: $229.00
On 21/11/2020 at 18:14:38, Price: $229.00
On 22/11/2020 at 21:30:13, Price: $229.00
On 23/11/2020 at 13:06:14, Price: None
On 23/11/2020 at 13:11:08, Price: $196.99
On 24/11/2020 at 19:16:31, Price: $196.99
On 25/11/2020 at 21:04:19, Price: $196.99
On 27/11/2020 at 13:35:38, Price: $196.99
On 28/11/2020 at 18:49:24, Price: None
On 03/12/2020 at 10:27:13, Price: None
On 03/12/2020 at 10:29:32, Price: None
On 03/12/2020 at 10:29:56, Price: None
On 03/12/2020 at 10:30:47, Price: $246.99
On 03/12/2020 at 10:33:18, Price: $246.99
On 03/12/2020 at 10:44:24, Price: $246.99
On 03/12/2020 at 10:57:31, Price: $246.99
On 03/12/2020 at 11:29:10, Price: $246.99
On 06/12/2020 at 20:03:22, Price: $246.99
On 07/12/2020 at 17:22:21, Price: $246.99
On 11/12/2020 at 15:26:15, Price: $229.99
