On 15/11/2020 at 15:52:10, Price: $326.99
On 15/11/2020 at 15:55:21, Price: $326.99
On 16/11/2020 at 14:28:23, Price: $376.98
On 16/11/2020 at 14:44:54, Price: $376.98
On 16/11/2020 at 14:50:14, Price: $376.98
On 16/11/2020 at 14:53:38, Price: $376.98
On 17/11/2020 at 13:11:09, Price: $376.99
On 18/11/2020 at 09:48:16, Price: $376.99
On 18/11/2020 at 14:30:56, Price: $376.99
On 18/11/2020 at 14:34:29, Price: $376.99
On 19/11/2020 at 18:08:56, Price: $376.99
On 21/11/2020 at 18:14:31, Price: $376.99
On 22/11/2020 at 21:30:07, Price: $329.99
On 23/11/2020 at 13:06:07, Price: $326.99
On 23/11/2020 at 13:11:02, Price: $326.99
On 24/11/2020 at 19:16:24, Price: $326.99
On 25/11/2020 at 21:04:11, Price: $326.99
On 27/11/2020 at 13:35:31, Price: $326.99
On 28/11/2020 at 18:49:17, Price: None
On 03/12/2020 at 10:27:06, Price: None
On 03/12/2020 at 10:29:26, Price: None
On 03/12/2020 at 10:29:50, Price: None
On 03/12/2020 at 10:30:41, Price: $326.99
On 03/12/2020 at 10:33:11, Price: $326.99
On 03/12/2020 at 10:44:18, Price: $326.99
On 03/12/2020 at 10:57:24, Price: $326.99
On 03/12/2020 at 11:29:03, Price: $326.99
On 06/12/2020 at 20:03:14, Price: $326.99
On 07/12/2020 at 17:22:13, Price: $379.99
On 11/12/2020 at 15:26:07, Price: $379.99
