On 18/11/2020 at 14:31:11, Price: None
On 18/11/2020 at 14:34:42, Price: $97.99
On 19/11/2020 at 18:09:12, Price: $97.99
On 21/11/2020 at 18:14:47, Price: $97.99
On 22/11/2020 at 21:30:23, Price: $97.99
On 23/11/2020 at 13:11:14, Price: None
On 24/11/2020 at 19:16:43, Price: $97.99
On 25/11/2020 at 21:04:28, Price: $99.99
On 27/11/2020 at 13:35:48, Price: $102.99
On 28/11/2020 at 18:49:33, Price: $102.99
On 03/12/2020 at 10:27:22, Price: $102.99
On 03/12/2020 at 10:29:41, Price: $102.99
On 03/12/2020 at 10:30:06, Price: $102.99
On 03/12/2020 at 10:30:56, Price: $102.99
On 03/12/2020 at 10:33:27, Price: $102.99
On 03/12/2020 at 10:44:34, Price: $102.99
On 03/12/2020 at 10:57:40, Price: $102.99
On 03/12/2020 at 11:29:19, Price: $102.99
On 06/12/2020 at 20:03:31, Price: $102.99
On 07/12/2020 at 17:22:31, Price: $102.99
On 11/12/2020 at 15:26:25, Price: $79.95
